item_id,item_name,item_description,delivery_price,instore_price,tax_rate,allergens,calories,hfss,max_quantity,age_restricted,plu,barcodes,ian,classifications,replacement_eligible,substitution_eligible,internal_name,dietary_information,returnable,irish_drs_deposit_fee,irish_drs_items_per_pack
bf485966-d514-42e6-98ac-51b125680f6d,Stella Artois 4-Pack,Arp.,10.5,,0,,,false,,true,,,,,true,true,Stella Artois 4-Pack,,,,
bc9d8af0-5d02-466b-bc59-4a50b0bbf0b0,Tails Cocktails Espresso Martini,Arp.,24,,0,,,false,,true,,,,,true,true,Tails Cocktails Espresso Martini,,,,
103224c5-7769-4cf6-850d-5303692aca68,Tanqueray No. Ten Gin,Arp.,49.95,,0,,,false,,true,,,,,true,true,Tanqueray No. Ten Gin,,,,
d021525f-7c0b-4af8-be88-4e0ac4af8f3b,Teacher's Highland Cream Blended Scotch Whisky,Arp.,29.9,,0,,,false,,true,,,,,true,true,Teacher's Highland Cream Blended Scotch Whisky,,,,
f68480aa-ce23-4f4c-b3d2-11035ae45d8a,Teeling Revival 14-Year-old Single Malt Irish Whiskey,Arp.,245,,0,,,false,,true,,,,,true,true,Teeling Revival 14-Year-old Single Malt Irish Whiskey,,,,
27502749-7f26-419e-a4d2-c086c1e8f152,Teeling Small Batch Irish Whiskey,Arp.,42,,0,,,false,,true,,,,,true,true,Teeling Small Batch Irish Whiskey,,,,
d11942c8-7733-4550-b826-ba4e6203ad9c,Tequila Rose Strawberry Cream Liqueur,Arp.,23.9,,0,,,false,,true,,,,,true,true,Tequila Rose Strawberry Cream Liqueur,,,,
b56c50f8-90fb-4fe7-8daa-55f97246ca7d,Terrazas De Los Andes Chardonnay 2024,Arp.,22.9,,0,,,false,,false,,,,,true,true,Terrazas De Los Andes Chardonnay 2024,,,,
3a888f41-8741-47ba-8ff4-9862bb8fb8b9,Terrazas De Los Andes Malbec 2022,Arp.,24,,0,,,false,,false,,,,,true,true,Terrazas De Los Andes Malbec 2022,,,,
678957ee-8161-424f-a9bb-a93f3bda653b,Thatchers Cider,Arp.,4.5,,0,,,false,,true,,,,,true,true,Thatchers Cider,,,,
db317c42-ea70-418b-ba2e-d53cc06cbe3e,The Balvenie Caribbean Cask Aged 14 Years,Arp.,125,,0,,,false,,true,,,,,true,true,The Balvenie Caribbean Cask Aged 14 Years,,,,
cacc1573-f851-407f-941d-d1205b7730c0,The Dew Drop Brewhouse Beer,Arp.,3.5,,0,,,false,,true,,,,,true,true,The Dew Drop Brewhouse Beer,,,15,
770d7c69-48da-4adb-a70f-161ca06d3959,The Macallan 12 Year Old Double Cask Single Malt Scotch Whiskey,Arp.,120,,0,,,false,,true,,,,,true,true,The Macallan 12 Year Old Double Cask Single Malt Scotch Whiskey,,,,
aa4bdc44-1139-4945-a302-4bc97324ca9e,Trappistes Rochefort Gift Box,Arp.,26.5,,0,,,false,,true,,,,,true,true,Trappistes Rochefort Gift Box,,,,
6ba8f9e1-0b69-43ea-b942-b1794c7b8bc7,Tullamore D.e.w. 14-Year-old Single Malt Irish Whiskey,Arp.,115,,0,,,false,,true,,,,,true,true,Tullamore D.e.w. 14-Year-old Single Malt Irish Whiskey,,,,
a7e43bce-7827-4e49-a328-b97c35c11379,Valdo Bio Prosecco,Arp.,29.5,,0,,,false,,false,,,,,true,true,Valdo Bio Prosecco,,,,
7e25a893-9f0a-49e6-b2cb-9c4383180e26,Valdo Prosecco Rosé Brut,Arp.,30,,0,,,false,,false,,,,,true,true,Valdo Prosecco Rosé Brut,,,,
57c33bf6-8f19-4345-9c0c-e13102ae4287,Vale D. Maria Douro Superior 2022,Arp.,32.5,,0,,,false,,false,,,,,true,true,Vale D. Maria Douro Superior 2022,,,,
