Name,Category,Price,Description,Country,Region,Producer,Wine Type,Spirit Type,Beer Style,ABV,Volume (ml)
Patrón Reposado Tequila,Spirit,90,,Mexico,,Patrón,,Tequila,,40,700
1800 Añejo Tequila,Spirit,65,,Mexico,,1800 Tequila,,Tequila,,38,700
Jose Cuervo Especial Reposado Tequila,Spirit,39.95,,Mexico,,Jose Cuervo,,Tequila,,38,700
Woodford Reserve Kentucky Straight Bourbon Whiskey,Spirit,58,,USA,Kentucky,Woodford Reserve,,Whiskey,,43.2,700
Tanqueray No. Ten Gin,Spirit,49.95,,United Kingdom,,Tanqueray,,Gin,,47.3,700
William Lawson's Blended Scotch Whisky,Spirit,31.5,,Scotland,,William Lawson Distillers,,Whiskey,,40,700
Five Farms Single Batch Irish Cream Liqueur,Spirit,37.95,,Ireland,County Cork,Five Farms,,Liqueur,,17,700
Olmeca Tequila Reposado,Spirit,35.99,,Mexico,,Olmeca,,Tequila,,35,700
Bumbu Rum,Spirit,38,,Barbados,,Bumbu,,Rum,,35,700
Buffalo Trace Kentucky Straight Bourbon Whiskey,Spirit,50,,USA,Kentucky,Buffalo Trace,,Whiskey,,40,700
Duppy Share Spiced Rum,Spirit,44.5,,Caribbean,,Duppy Share,,Rum,,37.5,700
Jack Daniel's Single Barrel Select Tennessee Whiskey,Spirit,69.5,,USA,Tennessee,Jack Daniel's,,Whiskey,,45,700
Brockmans Intensely Smooth Gin,Spirit,50,,United Kingdom,,Brockmans,,Gin,,40,700
Glendalough Pot Still Triple Casked Irish Whiskey,Spirit,66,,Ireland,Wicklow Mountains,Glendalough,,Whiskey,,43,700
Glendalough Double Barrel Irish Whiskey,Spirit,66,,Ireland,Wicklow Mountains,Glendalough,,Whiskey,,42,700
Diplomatico Mantuano Rum,Spirit,49,,Venezuela,,Diplomatico,,Rum,,40,700
Glendalough Porter Cask Single Malt Irish Whiskey,Spirit,89,,Ireland,Wicklow Mountains,Glendalough,,Whiskey,,46,700
Hendrick's Gin,Spirit,49,,Scotland,,Hendrick's,,Gin,,41.4,700
Bushmills 2011 The Causeway Collection Irish Whiskey,Spirit,115,,Ireland,County Antrim,The Old Bushmills Distillery,,Whiskey,,53.4,700
Bushmills 16 Year Old Single Malt Irish Whiskey,Spirit,128,,Ireland,County Antrim,The Old Bushmills Distillery,,Whiskey,,40,700
Bushmills Single Malt 10 Year Old Irish Whiskey,Spirit,59.95,,Ireland,County Antrim,The Old Bushmills Distillery,,Whiskey,,40,700
Mars Maltage Cosmo Blended Malt Whisky,Spirit,89,,Japan,,"Hombo Shuzo Co., Ltd.",,Whiskey,,43,700
The Balvenie Caribbean Cask Aged 14 Years,Spirit,125,,Scotland,Speyside,The Balvenie Distillery,,Whiskey,,43,700
